dong,school_count,subway_count,avg_price,school_score,subway_score,price_score
양평제2동,9,0,0,40.91,0.0,0.0
신길제1동,8,1,0,36.36,7.69,0.0
신길제3동,10,1,0,45.45,7.69,0.0
신길제4동,11,1,0,50.0,7.69,0.0
신길제5동,14,1,0,63.64,7.69,0.0
신길제6동,14,2,0,63.64,15.38,0.0
신길제7동,13,1,0,59.09,7.69,0.0
대림제1동,14,4,0,63.64,30.77,0.0
대림제2동,8,3,0,36.36,23.08,0.0
대림제3동,13,2,0,59.09,15.38,0.0
노량진제1동,5,0,0,22.73,0.0,0.0
노량진제2동,9,1,0,40.91,7.69,0.0
상도제1동,11,2,0,50.0,15.38,0.0
상도제2동,8,2,0,36.36,15.38,0.0
상도제3동,8,2,0,36.36,15.38,0.0
상도제4동,8,2,0,36.36,15.38,0.0
흑석동,7,0,104000,31.82,0.0,58.08
사당제1동,7,5,0,31.82,38.46,0.0
사당제2동,3,1,0,13.64,7.69,0.0
사당제3동,9,1,0,40.91,7.69,0.0
사당제4동,13,2,0,59.09,15.38,0.0
사당제5동,11,2,0,50.0,15.38,0.0
대방동,14,1,91500,63.64,7.69,66.7
신대방제1동,10,2,0,45.45,15.38,0.0
신대방제2동,11,2,0,50.0,15.38,0.0
보라매동,4,1,0,18.18,7.69,0.0
청림동,14,1,0,63.64,7.69,0.0
성현동,13,2,0,59.09,15.38,0.0
행운동,10,2,0,45.45,15.38,0.0
낙성대동,1,0,0,4.55,0.0,0.0
청룡동,12,2,0,54.55,15.38,0.0
은천동,10,1,0,45.45,7.69,0.0
중앙동,14,2,0,63.64,15.38,0.0
인헌동,6,1,0,27.27,7.69,0.0
남현동,0,0,0,0.0,0.0,0.0
서원동,5,2,0,22.73,15.38,0.0
신원동,11,1,0,50.0,7.69,0.0
서림동,10,0,0,45.45,0.0,0.0
신사동,10,2,59000,45.45,15.38,89.13
신림동,8,1,49757,36.36,7.69,95.51
난향동,9,0,0,40.91,0.0,0.0
조원동,10,2,0,45.45,15.38,0.0
대학동,0,0,0,0.0,0.0,0.0
삼성동,8,0,183000,36.36,0.0,3.5600000000000023
미성동,15,0,0,68.18,0.0,0.0
난곡동,12,0,0,54.55,0.0,0.0
서초1동,4,3,0,18.18,23.08,0.0
서초2동,8,1,0,36.36,7.69,0.0
서초3동,7,3,0,31.82,23.08,0.0
서초4동,8,3,0,36.36,23.08,0.0
잠원동,3,2,188166,13.64,15.38,0.0
